Event ID,Outage Start,YEAR,MONTH,Season,State,Postal Code,Climate Region,NERC Region,Climate Category,Cause Category,Cause Detail,Duration Minutes,Duration Hours,Duration Bucket,Customers Affected,Urban Population Density,Outage Count
915,2007-02-24 19:23:00,2007,2,Winter,Iowa,IA,East North Central,RFC,Normal,Severe Weather,Winter Storm,1044.0,17.4,Under 1 day,215000.0,2045.8,1
1281,2007-02-28 00:45:00,2007,2,Winter,California,CA,West,WECC,Normal,Severe Weather,Winter Storm,4080.0,68.0,1 to 3 days,671189.0,4303.7,1
202,2007-03-31 07:30:00,2007,3,Spring,Texas,TX,South,TRE,Normal,Severe Weather,Thunderstorm,690.0,11.5,Under 1 day,67000.0,2435.3,1
1470,2007-04-05 21:20:00,2007,4,Spring,Maine,ME,Northeast,NPCC,Normal,Severe Weather,Winter Storm,950.0,15.833333333333334,Under 1 day,117142.0,1428.0,1
1254,2007-04-12 00:32:00,2007,4,Spring,California,CA,West,WECC,Normal,Severe Weather,Heavy Wind,1230.0,20.5,Under 1 day,158977.0,4303.7,1
1157,2007-04-12 09:09:00,2007,4,Spring,California,CA,West,WECC,Normal,Equipment Failure,Generator Trip,854.0,14.233333333333333,Under 1 day,,4303.7,1
1480,2007-04-16 08:00:00,2007,4,Spring,New Hampshire,NH,Northeast,NPCC,Normal,Severe Weather,Thunderstorm,660.0,11.0,Under 1 day,102568.0,1232.6,1
1455,2007-04-16 10:14:00,2007,4,Spring,Maine,ME,Northeast,NPCC,Normal,Severe Weather,Thunderstorm,3604.0,60.06666666666667,1 to 3 days,127545.0,1428.0,1
566,2007-04-16 14:00:00,2007,4,Spring,Maryland,MD,Northeast,RFC,Normal,Severe Weather,Thunderstorm,3060.0,51.0,1 to 3 days,138000.0,2511.4,1
285,2007-05-02 13:30:00,2007,5,Spring,Texas,TX,South,TRE,Normal,Severe Weather,Storm,1830.0,30.5,1 to 3 days,300000.0,2435.3,1
1229,2007-05-10 09:57:00,2007,5,Spring,California,CA,West,WECC,Normal,Equipment Failure,Generator Trip,230.0,3.8333333333333335,Under 1 day,,4303.7,1
1108,2007-05-14 11:15:00,2007,5,Spring,California,CA,West,WECC,Normal,Equipment Failure,Generator Trip,155.0,2.5833333333333335,Under 1 day,,4303.7,1
142,2007-05-15 15:00:00,2007,5,Spring,Michigan,MI,East North Central,RFC,Normal,Severe Weather,Thunderstorm,3120.0,52.0,1 to 3 days,66000.0,2034.1,1
1402,2007-05-16 18:00:00,2007,5,Spring,Connecticut,CT,Northeast,NPCC,Normal,Severe Weather,Storm,4260.0,71.0,1 to 3 days,67000.0,1721.9,1
1185,2007-05-21 13:48:00,2007,5,Spring,California,CA,West,WECC,Normal,Equipment Failure,Generator Trip,182.0,3.033333333333333,Under 1 day,,4303.7,1
957,2007-06-27 15:41:00,2007,6,Summer,New York,NY,Northeast,NPCC,Normal,Severe Weather,Thunderstorm,49.0,0.8166666666666667,Under 1 day,137000.0,4161.4,1
989,2007-06-27 15:42:00,2007,6,Summer,New York,NY,Northeast,NPCC,Normal,System Operability Disruption,,48.0,0.8,Under 1 day,,4161.4,1
192,2007-06-29 09:23:00,2007,6,Summer,Texas,TX,South,WECC,Normal,System Operability Disruption,,766.0,12.766666666666667,Under 1 day,98700.0,2435.3,1
1152,2007-07-03 10:59:00,2007,7,Summer,California,CA,West,WECC,Normal,Public Appeal,,3301.0,55.016666666666666,1 to 3 days,,4303.7,1
89,2007-07-05 19:00:00,2007,7,Summer,Michigan,MI,East North Central,RFC,Normal,Severe Weather,Storm,4320.0,72.0,More than 3 days,69000.0,2034.1,1
930,2007-07-10 11:00:00,2007,7,Summer,New York,NY,Northeast,NPCC,Normal,Severe Weather,Storm,3300.0,55.0,1 to 3 days,300000.0,4161.4,1
664,2007-07-16 16:17:00,2007,7,Summer,Utah,UT,Southwest,WECC,Normal,Severe Weather,Wildfire,283.0,4.716666666666667,Under 1 day,,2737.1,1
379,2007-07-18 18:00:00,2007,7,Summer,Illinois,IL,Central,RFC,Normal,Severe Weather,,1200.0,20.0,Under 1 day,135000.0,2877.6,1
79,2007-07-19 15:00:00,2007,7,Summer,Michigan,MI,East North Central,RFC,Normal,Severe Weather,Storm,4830.0,80.5,More than 3 days,60000.0,2034.1,1
1326,2007-07-19 15:50:00,2007,7,Summer,Virginia,VA,Southeast,SERC,Normal,Severe Weather,Storm,385.0,6.416666666666667,Under 1 day,107000.0,2265.2,1
615,2007-08-09 14:53:00,2007,8,Summer,Pennsylvania,PA,Northeast,RFC,Cold,Severe Weather,Thunderstorm,78.0,1.3,Under 1 day,55000.0,2123.4,1
858,2007-08-13 01:30:00,2007,8,Summer,Missouri,MO,Central,SERC,Cold,Severe Weather,Thunderstorm,2070.0,34.5,1 to 3 days,63000.0,2053.5,1
1341,2007-08-19 23:34:00,2007,8,Summer,Virginia,VA,Southeast,SERC,Cold,Severe Weather,Thunderstorm,816.0,13.6,Under 1 day,58500.0,2265.2,1
352,2007-08-23 16:00:00,2007,8,Summer,Illinois,IL,Central,RFC,Cold,Severe Weather,Storm,7609.0,126.81666666666666,More than 3 days,629590.0,2877.6,1
150,2007-08-24 18:00:00,2007,8,Summer,Michigan,MI,East North Central,RFC,Cold,Severe Weather,Storm,5790.0,96.5,More than 3 days,75000.0,2034.1,1
1100,2007-08-29 13:53:00,2007,8,Summer,California,CA,West,WECC,Cold,System Operability Disruption,,64.0,1.0666666666666667,Under 1 day,26000.0,4303.7,1
1130,2007-08-29 16:00:00,2007,8,Summer,California,CA,West,WECC,Cold,Public Appeal,,1560.0,26.0,1 to 3 days,,4303.7,1
1155,2007-08-31 12:45:00,2007,8,Summer,California,CA,West,WECC,Cold,Severe Weather,Heatwave,435.0,7.25,Under 1 day,,4303.7,1
1270,2007-09-03 12:30:00,2007,9,Fall,California,CA,West,WECC,Cold,Severe Weather,Heatwave,300.0,5.0,Under 1 day,,4303.7,1
